Name,Score,Best_n_components,Status
balance-scale_did11,0.8208,4,ok
breast-w_did15,0.9627852004110997,7,ok
diabetes_did37,0.717400899753841,7,ok
heart-statlog_did53,0.825925925925926,12,ok
vehicle_did54,0.6773407587887226,7,ok
ionosphere_did59,0.8404426559356137,23,ok
oil_spill_did311,0.9669131869382183,18,ok
SPECTF_did337,0.713416149068323,24,ok
prnn_synth_did464,0.852,2,ok
rmftsa_sleepdata_did679,0.5136537541846007,2,ok
fri_c3_1000_25_did715,0.6319999999999999,21,ok
pwLinear_did721,0.8099999999999999,10,ok
analcatdata_supreme_did728,0.9945,7,ok
machine_cpu_did733,0.9277584204413472,5,ok
space_ga_did737,0.7795000000000001,3,ok
pm10_did750,0.542,6,ok
strikes_did770,0.8544,6,ok
quake_did772,0.532,3,ok
disclosure_x_bias_did774,0.49701526543631813,3,ok
bodyfat_did778,0.8574901960784314,8,ok
delta_ailerons_did803,0.9404999999999999,4,ok
chscase_vine2_did814,0.8675131548844659,2,ok
chatfield_4_did820,0.851063829787234,5,ok
stock_did841,0.9505263157894737,5,ok
vinnie_did860,0.8263157894736842,2,ok
pollen_did871,0.9620000000000001,4,ok
mu284_did880,0.9083959899749374,4,ok
no2_did886,0.5999999999999999,6,ok
balloon_did914,0.8094999999999999,1,ok
visualizing_galaxy_did925,0.9411538461538461,3,ok
segment_did958,0.9795,10,ok
mfeat-morphological_did962,0.9984999999999999,3,ok
glass_did1005,0.7617940199335548,6,ok
ecoli_did1011,0.9494293239683934,6,ok
jEdit_4.2_4.3_did1048,0.6259903739355794,5,ok
pc4_did1049,0.8916466600762604,15,ok
kc2_did1063,0.8199267399267398,4,ok
mw1_did1071,0.9181172839506171,11,ok
MegaWatt1_did1442,0.8854901960784314,11,ok
PizzaCutter1_did1443,0.9213146502620185,11,ok
CostaMadre1_did1446,0.8242937853107346,11,ok
CastMetal1_did1447,0.8472261072261074,11,ok
MeanWhile1_did1449,0.8854901960784314,11,ok
PieChart1_did1451,0.900709219858156,12,ok
banana_did1460,0.893,2,ok
banknote-authentication_did1462,0.972307896483079,3,ok
blood-transfusion-service-center_did1464,0.779427293064877,3,ok
climate-model-simulation-crashes_did1467,0.9074074074074072,18,ok
phoneme_did1489,0.8470000000000001,5,ok
qsar-biodeg_did1494,0.8606635071090046,22,ok
seeds_did1499,0.9,3,ok
seismic-bumps_did1500,0.9,3,ok
user-knowledge_did1508,0.7891358024691357,5,ok
wdbc_did1510,0.9666200900481291,10,ok
vertebra-column_did1523,0.7709677419354838,5,ok
wall-robot-navigation_did1525,0.9735000000000001,2,ok
volcanoes-a1_did1527,0.9105000000000001,3,ok
autoUniv-au1-1000_did1547,0.7399999999999999,18,ok
thyroid-new_did40682,0.944186046511628,4,ok
Titanic_did40704,0.738,3,ok
wilt_did40983,0.9625,4,ok
CPMP-2015-runtime-classification_did41919,0.5352021563342317,10,ok
ilpd-numeric_did41945,0.6655025051576775,7,ok
wine_did43980,0.757,9,ok
credit_did44345,0.614,8,ok
california_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44362,0.733,6,ok
electricity_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44372,0.7344999999999999,6,ok
covertype_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44377,0.7055,8,ok
pol_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44382,0.9209999999999999,19,ok
house_16H_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44387,0.8180000000000002,11,ok
kdd_ipums_la_97-small_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44392,0.818,8,ok
MagicTelescope_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44397,0.749,7,ok
bank-marketing_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44402,0.7505,7,ok
Higgs_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44417,0.5455,20,ok
eye_movements_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44423,0.5509999999999999,15,ok
numerai28.6_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44493,0.511,13,ok
sylvine_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44678,0.7775,17,ok
jungle_chess_2pcs_raw_endgame_complete_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44718,0.7585000000000001,6,ok
dummy_did45604,0.937,6,ok
algerian_forest_fires_did46279,0.9136054421768709,7,ok
Creditability-German-Credit-Data_did46416,0.7289999999999999,18,ok
Apple_Stock_Price_Trends_(2014-2023)_did46420,0.36300000000000004,5,ok
German-Credit-Data-Creditability-2_did46482,0.7289999999999999,18,ok
total_score_did46505,0.6147921522921522,9,ok
dataset_credit-g_did46532,0.71,18,ok
maternal_health_risk_did46600,0.6725844998292934,5,ok
student_lifestyle_dataset_did46752,0.7950000000000002,5,ok
air-quality-and-pollution-assessment_did46762,0.916,7,ok
football-player-position_did46764,0.817,9,ok
hepatitis_c_virus_hcv_for_egyptian_patients_did46850,0.2642599277978339,26,ok
depression_2020_did46876,0.8159489633173843,17,ok
mental_health_detection_did46879,0.45555555555555555,3,ok
Pumpkin_Seeds_did46951,0.8705,4,ok
waveform_did47155,0.7849999999999999,17,ok
