Name,Score,Best_n_components,Status
balance-scale_did11,0.6656000000000001,3.0,ok
breast-w_did15,0.9499280575539568,5.0,ok
diabetes_did37,0.6991511756217638,5.0,ok
heart-statlog_did53,0.7777777777777777,10.0,ok
vehicle_did54,0.661983988861817,10.0,ok
ionosphere_did59,0.8774245472837021,10.0,ok
oil_spill_did311,0.9679940835134827,20.0,ok
SPECTF_did337,0.7935817805383023,10.0,ok
prnn_synth_did464,0.712,1.0,ok
rmftsa_sleepdata_did679,0.4365088474414155,1.0,ok
fri_c3_1000_25_did715,0.611,3.0,ok
pwLinear_did721,0.7050000000000001,5.0,ok
analcatdata_supreme_did728,0.9953333333333333,2.0,ok
machine_cpu_did733,0.9282229965156794,5.0,ok
space_ga_did737,0.7973333333333333,5.0,ok
pm10_did750,0.55,3.0,ok
strikes_did770,0.7888,5.0,ok
quake_did772,0.5066666666666666,2.0,ok
disclosure_x_bias_did774,0.4969583048530417,2.0,ok
bodyfat_did778,0.8416470588235294,10.0,ok
delta_ailerons_did803,0.7953333333333333,3.0,ok
chscase_vine2_did814,0.7174102036147334,1.0,ok
chatfield_4_did820,0.8638297872340426,2.0,ok
stock_did841,0.9231578947368421,5.0,ok
vinnie_did860,0.6552631578947368,1.0,ok
pollen_did871,0,,single_class
mu284_did880,0.9436716791979949,5.0,ok
no2_did886,0.594,3.0,ok
balloon_did914,0.784,1.0,ok
visualizing_galaxy_did925,0.8978846153846154,2.0,ok
segment_did958,0.986,3.0,ok
mfeat-morphological_did962,0.998,2.0,ok
glass_did1005,0.7617940199335548,2.0,ok
ecoli_did1011,0.9642669007901669,5.0,ok
jEdit_4.2_4.3_did1048,0.5960755275823768,5.0,ok
pc4_did1049,0.8902650284799698,20.0,ok
kc2_did1063,0.839102564102564,20.0,ok
mw1_did1071,0.9330555555555555,2.0,ok
MegaWatt1_did1442,0.8972549019607843,10.0,ok
PizzaCutter1_did1443,0.9288790157211209,2.0,ok
CostaMadre1_did1446,0.8817514124293785,2.0,ok
CastMetal1_did1447,0.8806993006993007,3.0,ok
MeanWhile1_did1449,0.8972549019607843,10.0,ok
PieChart1_did1451,0.9134751773049645,5.0,ok
banana_did1460,0.596,1.0,ok
banknote-authentication_did1462,0.9846927670869278,3.0,ok
blood-transfusion-service-center_did1464,0.7500134228187919,3.0,ok
climate-model-simulation-crashes_did1467,0.9222222222222222,3.0,ok
phoneme_did1489,0.7673333333333334,2.0,ok
qsar-biodeg_did1494,0.8350710900473933,20.0,ok
seeds_did1499,0.919047619047619,3.0,ok
seismic-bumps_did1500,0.919047619047619,3.0,ok
user-knowledge_did1508,0.6229938271604938,3.0,ok
wdbc_did1510,0.9437820214252446,10.0,ok
vertebra-column_did1523,0.7516129032258064,5.0,ok
wall-robot-navigation_did1525,0.826,1.0,ok
volcanoes-a1_did1527,0.8926666666666666,2.0,ok
autoUniv-au1-1000_did1547,0.7139999999999999,10.0,ok
thyroid-new_did40682,0.9209302325581395,2.0,ok
Titanic_did40704,0.7766666666666667,2.0,ok
wilt_did40983,0.9486666666666667,3.0,ok
CPMP-2015-runtime-classification_did41919,0.5483917340521114,20.0,ok
ilpd-numeric_did41945,0.6809755378720895,2.0,ok
wine_did43980,0.9026666666666665,10.0,ok
credit_did44345,0.5726666666666668,3.0,ok
california_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44362,0.7013333333333333,5.0,ok
electricity_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44372,0.6646666666666666,5.0,ok
covertype_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44377,0.5980000000000001,5.0,ok
pol_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44382,0.9253333333333333,20.0,ok
house_16H_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44387,0.7526666666666666,10.0,ok
kdd_ipums_la_97-small_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44392,0.7846666666666667,10.0,ok
MagicTelescope_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44397,0.7013333333333334,5.0,ok
bank-marketing_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44402,0.7353333333333334,5.0,ok
Higgs_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44417,0.5486666666666666,20.0,ok
eye_movements_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44423,0.538,3.0,ok
numerai28.6_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44493,0.5406666666666667,20.0,ok
sylvine_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44678,0.6093333333333334,10.0,ok
jungle_chess_2pcs_raw_endgame_complete_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44718,0.6166666666666667,5.0,ok
dummy_did45604,0.875,5.0,ok
algerian_forest_fires_did46279,0.9178571428571429,5.0,ok
Creditability-German-Credit-Data_did46416,0.682,10.0,ok
Apple_Stock_Price_Trends_(2014-2023)_did46420,0.36000000000000004,2.0,ok
German-Credit-Data-Creditability-2_did46482,0.682,10.0,ok
total_score_did46505,0.5522144522144522,5.0,ok
dataset_credit-g_did46532,0.6749999999999999,3.0,ok
maternal_health_risk_did46600,0.6824415939130859,2.0,ok
student_lifestyle_dataset_did46752,0.7953333333333333,5.0,ok
air-quality-and-pollution-assessment_did46762,0.8113333333333334,5.0,ok
football-player-position_did46764,0.7526666666666666,10.0,ok
hepatitis_c_virus_hcv_for_egyptian_patients_did46850,0.27509025270758125,5.0,ok
depression_2020_did46876,0.8187535271745799,2.0,ok
mental_health_detection_did46879,0.4666666666666667,10.0,ok
Pumpkin_Seeds_did46951,0.8873333333333333,5.0,ok
waveform_did47155,0.7787499999999999,2.0,ok
