Name,Score,Best_n_components,Status
balance-scale_did11,0.8224,100,ok
breast-w_did15,0.6738232271325796,100,ok
diabetes_did37,0.7095577624989389,100,ok
heart-statlog_did53,0.788888888888889,100,ok
vehicle_did54,0.7021371388792204,100,ok
ionosphere_did59,0.7007645875251509,100,ok
oil_spill_did311,0.9658379792922972,100,ok
SPECTF_did337,0.6818633540372672,100,ok
prnn_synth_did464,0.8240000000000001,100,ok
rmftsa_sleepdata_did679,0.5097752271640363,93,ok
fri_c3_1000_25_did715,0.724,100,ok
pwLinear_did721,0.75,100,ok
analcatdata_supreme_did728,0.9945,66,ok
machine_cpu_did733,0.8228803716608596,76,ok
space_ga_did737,0.821,100,ok
pm10_did750,0.542,100,ok
strikes_did770,0.9152000000000001,100,ok
quake_did772,0.5175,100,ok
disclosure_x_bias_did774,0.5014695830485304,100,ok
bodyfat_did778,0.8055686274509805,100,ok
delta_ailerons_did803,0.9400000000000001,100,ok
chscase_vine2_did814,0.8398993365362617,100,ok
chatfield_4_did820,0.7021276595744681,100,ok
stock_did841,0.9642105263157894,100,ok
vinnie_did860,0.8342105263157895,40,ok
pollen_did871,0.9620000000000001,100,ok
mu284_did880,0.8661654135338346,100,ok
no2_did886,0.568,100,ok
balloon_did914,0.7985,22,ok
visualizing_galaxy_did925,0.9133173076923077,100,ok
segment_did958,0.994,100,ok
mfeat-morphological_did962,0.998,100,ok
glass_did1005,0.7666666666666667,90,ok
ecoli_did1011,0.9464003511852501,100,ok
jEdit_4.2_4.3_did1048,0.5908552388004443,100,ok
pc4_did1049,0.8799887021607118,100,ok
kc2_did1063,0.7931318681318682,95,ok
mw1_did1071,0.9230864197530864,100,ok
MegaWatt1_did1442,0.8893333333333333,100,ok
PizzaCutter1_did1443,0.9228298017771701,100,ok
CostaMadre1_did1446,0.8682485875706215,100,ok
CastMetal1_did1447,0.8593006993006993,100,ok
MeanWhile1_did1449,0.8893333333333333,100,ok
PieChart1_did1451,0.9148936170212766,100,ok
banana_did1460,0.8939999999999999,100,ok
banknote-authentication_did1462,0.9963530192435301,100,ok
blood-transfusion-service-center_did1464,0.7486711409395974,100,ok
climate-model-simulation-crashes_did1467,0.912962962962963,100,ok
phoneme_did1489,0.8425,100,ok
qsar-biodeg_did1494,0.8255924170616113,100,ok
seeds_did1499,0.8761904761904761,100,ok
seismic-bumps_did1500,0.8761904761904761,100,ok
user-knowledge_did1508,0.818888888888889,100,ok
wdbc_did1510,0.9208973761838225,100,ok
vertebra-column_did1523,0.6548387096774194,100,ok
wall-robot-navigation_did1525,0.9765,100,ok
volcanoes-a1_did1527,0.9129999999999999,100,ok
autoUniv-au1-1000_did1547,0.7390000000000001,100,ok
thyroid-new_did40682,0.7255813953488371,91,ok
Titanic_did40704,0.747,8,ok
wilt_did40983,0.9814999999999999,100,ok
CPMP-2015-runtime-classification_did41919,0.5179514824797844,100,ok
ilpd-numeric_did41945,0.6535219569702327,100,ok
wine_did43980,0.743,100,ok
credit_did44345,0.675,100,ok
california_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44362,0.8225,100,ok
electricity_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44372,0.7429999999999999,100,ok
covertype_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44377,0.674,100,ok
pol_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44382,0.859,100,ok
house_16H_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44387,0.7959999999999999,100,ok
kdd_ipums_la_97-small_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44392,0.8234999999999999,100,ok
MagicTelescope_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44397,0.747,100,ok
bank-marketing_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44402,0.7335,100,ok
Higgs_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44417,0.533,100,ok
eye_movements_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44423,0.5660000000000001,100,ok
numerai28.6_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44493,0.5035000000000001,100,ok
sylvine_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44678,0.7460000000000001,100,ok
jungle_chess_2pcs_raw_endgame_complete_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44718,0.7405000000000002,100,ok
dummy_did45604,0.922,100,ok
algerian_forest_fires_did46279,0.9013605442176871,100,ok
Creditability-German-Credit-Data_did46416,0.7230000000000001,100,ok
Apple_Stock_Price_Trends_(2014-2023)_did46420,0.34650000000000003,100,ok
German-Credit-Data-Creditability-2_did46482,0.7230000000000001,100,ok
total_score_did46505,0.5785742035742036,100,ok
dataset_credit-g_did46532,0.6880000000000001,100,ok
maternal_health_risk_did46600,0.6755206555138272,100,ok
student_lifestyle_dataset_did46752,0.905,100,ok
air-quality-and-pollution-assessment_did46762,0.9055,100,ok
football-player-position_did46764,0.8030000000000002,100,ok
hepatitis_c_virus_hcv_for_egyptian_patients_did46850,0.244043321299639,100,ok
depression_2020_did46876,0.8138706907127959,100,ok
mental_health_detection_did46879,0.4537037037037037,17,ok
Pumpkin_Seeds_did46951,0.869,100,ok
waveform_did47155,0.7424999999999999,100,ok
