Name,Score,Best_n_components,Status
balance-scale_did11,0.8224,4,ok
breast-w_did15,0.9742343268242548,9,ok
diabetes_did37,0.7642050759697818,6,ok
heart-statlog_did53,0.8407407407407408,9,ok
vehicle_did54,0.7305186216498434,18,ok
ionosphere_did59,0.8888531187122736,8,ok
oil_spill_did311,0.9647912162930936,24,ok
SPECTF_did337,0.8024430641821947,33,ok
prnn_synth_did464,0.8480000000000001,2,ok
rmftsa_sleepdata_did679,0.5039167862266858,2,ok
fri_c3_1000_25_did715,0.819,6,ok
pwLinear_did721,0.86,1,ok
analcatdata_supreme_did728,0.9955000000000002,3,ok
machine_cpu_did733,0.9521486643437862,3,ok
space_ga_did737,0.8285,6,ok
pm10_did750,0.5860000000000001,3,ok
strikes_did770,0.944,3,ok
quake_did772,0.54,1,ok
disclosure_x_bias_did774,0.530246069719754,3,ok
bodyfat_did778,0.996078431372549,1,ok
delta_ailerons_did803,0.945,5,ok
chscase_vine2_did814,0.8653854953099976,2,ok
chatfield_4_did820,0.9234042553191489,9,ok
stock_did841,0.9673684210526317,6,ok
vinnie_did860,0.8526315789473685,2,ok
pollen_did871,0.9620000000000001,1,ok
mu284_did880,0.9929824561403509,1,ok
no2_did886,0.6360000000000001,1,ok
balloon_did914,0.8089999999999999,1,ok
visualizing_galaxy_did925,0.9597596153846155,2,ok
segment_did958,0.9955,9,ok
mfeat-morphological_did962,0.9984999999999999,3,ok
glass_did1005,0.7945736434108527,6,ok
ecoli_did1011,0.9732221246707639,5,ok
jEdit_4.2_4.3_did1048,0.6504257682339875,8,ok
pc4_did1049,0.8916348914936686,37,ok
kc2_did1063,0.841062271062271,5,ok
mw1_did1071,0.9304938271604938,18,ok
MegaWatt1_did1442,0.9050980392156862,9,ok
PizzaCutter1_did1443,0.9303941672362723,9,ok
CostaMadre1_did1446,0.8749717514124293,1,ok
CastMetal1_did1447,0.8716550116550117,27,ok
MeanWhile1_did1449,0.9050980392156862,9,ok
PieChart1_did1451,0.9234042553191489,9,ok
banana_did1460,0.8925000000000001,2,ok
banknote-authentication_did1462,0.9992700729927007,3,ok
blood-transfusion-service-center_did1464,0.7780671140939598,4,ok
climate-model-simulation-crashes_did1467,0.9148148148148149,5,ok
phoneme_did1489,0.8455,5,ok
qsar-biodeg_did1494,0.8625592417061612,41,ok
seeds_did1499,0.9380952380952381,5,ok
seismic-bumps_did1500,0.9380952380952381,5,ok
user-knowledge_did1508,0.9380864197530864,3,ok
wdbc_did1510,0.9718987734823784,22,ok
vertebra-column_did1523,0.7838709677419354,4,ok
wall-robot-navigation_did1525,0.9760000000000002,2,ok
volcanoes-a1_did1527,0.9145,3,ok
autoUniv-au1-1000_did1547,0.772,10,ok
thyroid-new_did40682,0.9534883720930232,3,ok
Titanic_did40704,0.7870000000000001,3,ok
wilt_did40983,0.967,5,ok
CPMP-2015-runtime-classification_did41919,0.5351123090745732,11,ok
ilpd-numeric_did41945,0.715281461833186,1,ok
wine_did43980,0.7555,11,ok
credit_did44345,0.679,5,ok
california_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44362,0.8029999999999999,8,ok
electricity_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44372,0.7245,3,ok
covertype_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44377,0.7185,5,ok
pol_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44382,0.9425000000000001,19,ok
house_16H_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44387,0.8105,16,ok
kdd_ipums_la_97-small_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44392,0.8535,5,ok
MagicTelescope_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44397,0.7834999999999999,5,ok
bank-marketing_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44402,0.7649999999999999,7,ok
Higgs_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44417,0.624,6,ok
eye_movements_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44423,0.5700000000000001,5,ok
numerai28.6_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44493,0.5299999999999999,5,ok
sylvine_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44678,0.9005000000000001,1,ok
jungle_chess_2pcs_raw_endgame_complete_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44718,0.7545,6,ok
dummy_did45604,0.9360000000000002,6,ok
algerian_forest_fires_did46279,0.950765306122449,1,ok
Creditability-German-Credit-Data_did46416,0.76,20,ok
Apple_Stock_Price_Trends_(2014-2023)_did46420,0.36700000000000005,18,ok
German-Credit-Data-Creditability-2_did46482,0.76,20,ok
total_score_did46505,0.6021853146853147,5,ok
dataset_credit-g_did46532,0.7250000000000001,5,ok
maternal_health_risk_did46600,0.7120128761644636,4,ok
student_lifestyle_dataset_did46752,0.9695,3,ok
air-quality-and-pollution-assessment_did46762,0.9295,9,ok
football-player-position_did46764,0.834,5,ok
hepatitis_c_virus_hcv_for_egyptian_patients_did46850,0.2736462093862816,7,ok
depression_2020_did46876,0.825057048214943,5,ok
mental_health_detection_did46879,0.45555555555555555,1,ok
Pumpkin_Seeds_did46951,0.8734999999999999,6,ok
waveform_did47155,0.8049999999999999,15,ok
