Name,Score,Best_n_components,Status
balance-scale_did11,0.8240000000000001,20,ok
breast-w_did15,0.9728263103802671,20,ok
diabetes_did37,0.7135302605890842,20,ok
heart-statlog_did53,0.837037037037037,3,ok
vehicle_did54,0.6584058475461191,20,ok
ionosphere_did59,0.8432193158953722,20,ok
oil_spill_did311,0.959443622710206,2,ok
SPECTF_did337,0.7363975155279503,2,ok
prnn_synth_did464,0.8400000000000001,2,ok
rmftsa_sleepdata_did679,0.502907699665232,5,ok
fri_c3_1000_25_did715,0.6980000000000001,3,ok
pwLinear_did721,0.7550000000000001,20,ok
analcatdata_supreme_did728,0.993,3,ok
machine_cpu_did733,0.9186991869918699,20,ok
space_ga_did737,0.794,20,ok
pm10_did750,0.5619999999999999,20,ok
strikes_did770,0.7936,5,ok
quake_did772,0.5325,20,ok
disclosure_x_bias_did774,0.5106060606060605,5,ok
bodyfat_did778,0.8334901960784313,10,ok
delta_ailerons_did803,0.9414999999999999,10,ok
chscase_vine2_did814,0.8226264012811713,5,ok
chatfield_4_did820,0.8425531914893616,10,ok
stock_did841,0.9463157894736842,2,ok
vinnie_did860,0.8236842105263158,3,ok
pollen_did871,0.9620000000000001,2,ok
mu284_did880,0.9224937343358395,5,ok
no2_did886,0.552,2,ok
balloon_did914,0.818,20,ok
visualizing_galaxy_did925,0.9566346153846155,2,ok
segment_did958,0.9865,20,ok
mfeat-morphological_did962,0.9984999999999999,2,ok
glass_did1005,0.7802879291251383,10,ok
ecoli_did1011,0.9464442493415277,3,ok
jEdit_4.2_4.3_did1048,0.6612736023694927,3,ok
pc4_did1049,0.8690062608859389,5,ok
kc2_did1063,0.839065934065934,20,ok
mw1_did1071,0.9230864197530864,20,ok
MegaWatt1_did1442,0.8893333333333333,3,ok
PizzaCutter1_did1443,0.9152882205513786,10,ok
CostaMadre1_did1446,0.8479661016949154,5,ok
CastMetal1_did1447,0.8776689976689976,10,ok
MeanWhile1_did1449,0.8893333333333333,3,ok
PieChart1_did1451,0.9035460992907801,3,ok
banana_did1460,0.8859999999999999,10,ok
banknote-authentication_did1462,0.9985401459854014,5,ok
blood-transfusion-service-center_did1464,0.7433378076062639,2,ok
climate-model-simulation-crashes_did1467,0.9148148148148149,20,ok
phoneme_did1489,0.8265,20,ok
qsar-biodeg_did1494,0.842654028436019,20,ok
seeds_did1499,0.9047619047619048,10,ok
seismic-bumps_did1500,0.9047619047619048,10,ok
user-knowledge_did1508,0.7442901234567901,20,ok
wdbc_did1510,0.9525694767893185,3,ok
vertebra-column_did1523,0.7354838709677418,5,ok
wall-robot-navigation_did1525,0.9625,20,ok
volcanoes-a1_did1527,0.9085000000000001,2,ok
autoUniv-au1-1000_did1547,0.7220000000000001,20,ok
thyroid-new_did40682,0.9395348837209301,20,ok
Titanic_did40704,0.7505,2,ok
wilt_did40983,0.966,20,ok
CPMP-2015-runtime-classification_did41919,0.5123450134770889,5,ok
ilpd-numeric_did41945,0.6791924550545241,3,ok
wine_did43980,0.7345,20,ok
credit_did44345,0.5735,20,ok
california_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44362,0.7384999999999999,20,ok
electricity_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44372,0.7154999999999999,20,ok
covertype_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44377,0.662,20,ok
pol_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44382,0.909,20,ok
house_16H_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44387,0.798,20,ok
kdd_ipums_la_97-small_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44392,0.805,20,ok
MagicTelescope_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44397,0.7370000000000001,20,ok
bank-marketing_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44402,0.7369999999999999,20,ok
Higgs_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44417,0.5519999999999999,20,ok
eye_movements_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44423,0.533,20,ok
numerai28.6_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44493,0.5235000000000001,5,ok
sylvine_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44678,0.7355,10,ok
jungle_chess_2pcs_raw_endgame_complete_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44718,0.6865,20,ok
dummy_did45604,0.9279999999999999,5,ok
algerian_forest_fires_did46279,0.8726190476190474,10,ok
Creditability-German-Credit-Data_did46416,0.711,10,ok
Apple_Stock_Price_Trends_(2014-2023)_did46420,0.37,2,ok
German-Credit-Data-Creditability-2_did46482,0.711,10,ok
total_score_did46505,0.5800116550116551,20,ok
dataset_credit-g_did46532,0.695,20,ok
maternal_health_risk_did46600,0.6745500658440229,20,ok
student_lifestyle_dataset_did46752,0.7929999999999999,5,ok
air-quality-and-pollution-assessment_did46762,0.9245000000000001,10,ok
football-player-position_did46764,0.799,20,ok
hepatitis_c_virus_hcv_for_egyptian_patients_did46850,0.2534296028880866,20,ok
depression_2020_did46876,0.8117580664949087,5,ok
mental_health_detection_did46879,0.4296296296296296,20,ok
Pumpkin_Seeds_did46951,0.8745,20,ok
waveform_did47155,0.7887500000000001,3,ok
