Name,Score,Best_n_components
balance-scale_did11,0.8304,20
breast-w_did15,0.9642343268242548,2
diabetes_did37,0.7448009506833037,10
heart-statlog_did53,0.8333333333333334,5
vehicle_did54,0.7080542986425339,20
ionosphere_did59,0.8888531187122736,2
oil_spill_did311,0.9647798384344066,20
SPECTF_did337,0.7648447204968944,20
prnn_synth_did464,0.8560000000000001,2
rmftsa_sleepdata_did679,0.5224629363940698,20
fri_c3_1000_25_did715,0.629,20
pwLinear_did721,0.8049999999999999,5
analcatdata_supreme_did728,0.9945,2
machine_cpu_did733,0.9186991869918699,5
space_ga_did737,0.8145,20
pm10_did750,0.55,5
strikes_did770,0.8496,20
quake_did772,0.5275000000000001,5
disclosure_x_bias_did774,0.5015265436318067,5
bodyfat_did778,0.8570196078431372,10
delta_ailerons_did803,0.9365,2
chscase_vine2_did814,0.8696179363989934,20
chatfield_4_did820,0.8212765957446809,20
stock_did841,0.9589473684210527,5
vinnie_did860,0.8263157894736842,5
pollen_did871,0.9620000000000001,2
mu284_did880,0.9224937343358397,10
no2_did886,0.598,2
balloon_did914,0.8205,2
visualizing_galaxy_did925,0.9504326923076925,2
segment_did958,0.992,2
mfeat-morphological_did962,0.9984999999999999,20
glass_did1005,0.7991140642303431,5
ecoli_did1011,0.9732221246707639,2
jEdit_4.2_4.3_did1048,0.6151795631247685,2
pc4_did1049,0.8889069340488632,10
kc2_did1063,0.8275824175824175,2
mw1_did1071,0.915679012345679,10
MegaWatt1_did1442,0.8894117647058823,20
PizzaCutter1_did1443,0.922818409660515,20
CostaMadre1_did1446,0.8444632768361583,2
CastMetal1_did1447,0.8562237762237762,2
MeanWhile1_did1449,0.8894117647058823,20
PieChart1_did1451,0.9106382978723404,20
banana_did1460,0.8924999999999998,20
banknote-authentication_did1462,0.9985401459854014,2
blood-transfusion-service-center_did1464,0.7834362416107382,20
climate-model-simulation-crashes_did1467,0.9,20
phoneme_did1489,0.8445,20
qsar-biodeg_did1494,0.8587677725118483,10
seeds_did1499,0.9142857142857143,2
seismic-bumps_did1500,0.9142857142857143,2
user-knowledge_did1508,0.7568827160493827,5
wdbc_did1510,0.9595870206489675,2
vertebra-column_did1523,0.7709677419354838,10
wall-robot-navigation_did1525,0.977,20
volcanoes-a1_did1527,0.9119999999999999,2
autoUniv-au1-1000_did1547,0.742,20
thyroid-new_did40682,0.9441860465116279,5
Titanic_did40704,0.7709999999999999,5
wilt_did40983,0.9719999999999999,20
CPMP-2015-runtime-classification_did41919,0.5142857142857143,5
ilpd-numeric_did41945,0.6775419982316534,20
wine_did43980,0.7539999999999999,20
credit_did44345,0.5824999999999999,10
california_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44362,0.7785,20
electricity_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44372,0.729,20
covertype_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44377,0.6895,20
pol_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44382,0.9295,20
house_16H_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44387,0.8074999999999999,5
kdd_ipums_la_97-small_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44392,0.8160000000000001,10
MagicTelescope_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44397,0.7585,10
bank-marketing_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44402,0.7455,20
Higgs_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44417,0.5535,10
eye_movements_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44423,0.5409999999999999,10
numerai28.6_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44493,0.509,5
sylvine_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44678,0.764,10
jungle_chess_2pcs_raw_endgame_complete_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44718,0.7325000000000002,20
dummy_did45604,0.9400000000000001,20
algerian_forest_fires_did46279,0.8969387755102041,5
Creditability-German-Credit-Data_did46416,0.7329999999999999,2
Apple_Stock_Price_Trends_(2014-2023)_did46420,0.36300000000000004,2
German-Credit-Data-Creditability-2_did46482,0.7329999999999999,2
total_score_did46505,0.5980477855477856,5
dataset_credit-g_did46532,0.7,10
maternal_health_risk_did46600,0.663693118080281,10
student_lifestyle_dataset_did46752,0.8265,20
air-quality-and-pollution-assessment_did46762,0.9275,2
football-player-position_did46764,0.8150000000000001,20
hepatitis_c_virus_hcv_for_egyptian_patients_did46850,0.2642599277978339,2
depression_2020_did46876,0.8103668261562997,2
mental_health_detection_did46879,0.40555555555555556,10
Pumpkin_Seeds_did46951,0.8714999999999999,10
waveform_did47155,0.78875,2
